"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2019","5,9489","5,9451","5,9521","5,9369","","0,02%"
"30.12.2019","5,9479","5,9462","5,9521","5,9399","","0,00%"
"30.12.2019","5,9479","5,9521","5,9540","5,9348","","0,03%"
"29.12.2019","5,9462","5,9492","5,9520","5,9350","","-0,07%"
"27.12.2019","5,9502","5,9261","5,9604","5,9220","","0,10%"
"26.12.2019","5,9441","5,9320","5,9598","5,9250","","0,18%"
"26.12.2019","5,9335","5,9344","5,9479","5,9289","","0,04%"
"25.12.2019","5,9310","5,9364","5,9436","5,9280","","-0,07%"
"25.12.2019","5,9350","5,9459","5,9488","5,9260","","0,00%"
"24.12.2019","5,9351","5,9449","5,9500","5,9290","","-0,20%"
"24.12.2019","5,9468","5,9474","5,9564","5,9250","","0,01%"
"23.12.2019","5,9460","5,9476","5,9554","5,9300","","-0,04%"
"23.12.2019","5,9486","5,9393","5,9513","5,9135","","0,03%"
"22.12.2019","5,9470","5,9356","5,9505","5,9170","","0,12%"
"20.12.2019","5,9400","5,9424","5,9469","5,8994","","0,12%"
"19.12.2019","5,9330","5,9374","5,9436","5,9013","","-0,15%"
"19.12.2019","5,9417","5,9260","5,9475","5,8987","","0,04%"
"18.12.2019","5,9392","5,9236","5,9443","5,8990","","0,22%"
"18.12.2019","5,9261","5,8866","5,9345","5,8852","","0,01%"
"17.12.2019","5,9256","5,8840","5,9312","5,8840","","0,67%"
"17.12.2019","5,8860","5,8503","5,8930","5,8441","","0,04%"
"16.12.2019","5,8835","5,8470","5,8892","5,8440","","0,58%"
"16.12.2019","5,8498","5,8116","5,8626","5,8029","","0,02%"
"15.12.2019","5,8484","5,8072","5,8586","5,8024","","0,69%"
"13.12.2019","5,8082","5,7885","5,8264","5,7639","","0,02%"
"12.12.2019","5,8072","5,7890","5,8264","5,7679","","0,27%"
"12.12.2019","5,7914","5,8084","5,8122","5,7585","","0,04%"
"11.12.2019","5,7890","5,8059","5,8104","5,7600","","-0,32%"
"11.12.2019","5,8074","5,8038","5,8188","5,7880","","0,16%"
"10.12.2019","5,7984","5,8027","5,8185","5,7920","","-0,13%"
"10.12.2019","5,8057","5,8104","5,8205","5,7865","","0,01%"
"09.12.2019","5,8050","5,8084","5,8186","5,7920","","-0,11%"
"09.12.2019","5,8113","5,7786","5,8201","5,7709","","0,07%"
"08.12.2019","5,8073","5,7756","5,8169","5,7653","","0,53%"
"06.12.2019","5,7766","5,7458","5,7898","5,7350","","0,05%"
"05.12.2019","5,7740","5,7429","5,7896","5,7380","","0,44%"
"05.12.2019","5,7485","5,7459","5,7724","5,7364","","0,06%"
"04.12.2019","5,7453","5,7465","5,7685","5,7360","","-0,10%"
"04.12.2019","5,7508","5,7429","5,7611","5,7304","","0,04%"
"03.12.2019","5,7486","5,7403","5,7581","5,7310","","0,10%"
"03.12.2019","5,7431","5,7395","5,7645","5,7241","","0,03%"
"02.12.2019","5,7414","5,7364","5,7660","5,7300","","0,00%"
"02.12.2019","5,7415","5,7488","5,7663","5,7293","","0,06%"
"01.12.2019","5,7380","5,7470","5,7642","5,7310","","-0,16%"
"29.11.2019","5,7470","5,7496","5,7669","5,7310","","0,02%"
"28.11.2019","5,7460","5,7486","5,7667","5,7350","","-0,22%"
"28.11.2019","5,7585","5,7795","5,7903","5,7536","","0,08%"
"27.11.2019","5,7541","5,7734","5,7840","5,7526","","-0,41%"
"27.11.2019","5,7779","5,7575","5,7914","5,7445","","0,06%"
"26.11.2019","5,7745","5,7556","5,7913","5,7485","","0,26%"
"26.11.2019","5,7597","5,7420","5,7736","5,7316","","0,08%"
"25.11.2019","5,7552","5,7393","5,7705","5,7320","","0,24%"
"25.11.2019","5,7416","5,7247","5,7611","5,7034","","0,05%"
"24.11.2019","5,7388","5,7122","5,7538","5,6990","","0,45%"
"22.11.2019","5,7132","5,6890","5,7235","5,6840","","0,02%"
"21.11.2019","5,7122","5,6915","5,7235","5,6915","","0,27%"
"21.11.2019","5,6966","5,7027","5,7138","5,6830","","0,04%"
"20.11.2019","5,6943","5,6954","5,7092","5,6820","","-0,09%"
"20.11.2019","5,6997","5,7022","5,7283","5,6856","","0,08%"
"19.11.2019","5,6954","5,6950","5,7216","5,6820","","-0,06%"
"19.11.2019","5,6990","5,7299","5,7422","5,6900","","-0,66%"
"18.11.2019","5,7369","5,7465","5,7566","5,7171","","-0,15%"
"15.11.2019","5,7453","5,7451","5,7702","5,7330","","-0,04%"
"14.11.2019","5,7477","5,7421","5,7820","5,7351","","0,13%"
"13.11.2019","5,7403","5,7746","5,7818","5,7280","","-0,65%"
"12.11.2019","5,7776","5,7702","5,7823","5,7565","","0,07%"
"11.11.2019","5,7733","5,7711","5,7987","5,7598","","0,11%"
"08.11.2019","5,7668","5,7515","5,7712","5,7330","","0,25%"
